"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2023";"0000";"12,5";"12,5";"11,2";"77,0";"88,0";"77,0";"8,6";"9,4";"7,9";"1019,9";"1019,9";"1019,3";"1,1";"125,0";"3,3";"";"0,0"
"01/09/2023";"0100";"12,3";"12,9";"12,3";"80,0";"80,0";"74,0";"8,9";"9,1";"8,3";"1019,9";"1019,9";"1019,7";"0,8";"104,0";"3,3";"";"0,0"
"01/09/2023";"0200";"13,0";"13,0";"12,2";"78,0";"81,0";"78,0";"9,2";"9,6";"8,9";"1019,2";"1019,9";"1019,2";"1,4";"98,0";"4,0";"";"0,0"
"01/09/2023";"0300";"12,6";"13,4";"12,6";"79,0";"80,0";"76,0";"9,2";"9,4";"8,8";"1019,0";"1019,2";"1019,0";"1,3";"70,0";"4,0";"";"0,0"
"01/09/2023";"0400";"12,6";"13,1";"12,6";"79,0";"80,0";"77,0";"8,9";"9,6";"8,9";"1018,6";"1019,0";"1018,6";"1,7";"80,0";"3,8";"";"0,0"
"01/09/2023";"0500";"13,3";"13,4";"12,5";"77,0";"79,0";"76,0";"9,4";"9,5";"9,0";"1018,4";"1018,7";"1018,4";"1,8";"82,0";"3,8";"";"0,0"
"01/09/2023";"0600";"13,3";"13,8";"13,2";"77,0";"77,0";"75,0";"9,3";"9,5";"9,2";"1017,9";"1018,4";"1017,9";"1,8";"88,0";"4,5";"";"0,0"
"01/09/2023";"0700";"13,7";"13,8";"13,3";"79,0";"79,0";"77,0";"10,0";"10,1";"9,4";"1017,9";"1018,0";"1017,8";"2,0";"79,0";"4,5";"";"0,0"
"01/09/2023";"0800";"13,2";"13,7";"13,2";"84,0";"84,0";"78,0";"10,5";"10,6";"9,9";"1017,9";"1018,1";"1017,9";"1,5";"96,0";"4,0";"";"0,0"
"01/09/2023";"0900";"13,2";"13,4";"12,8";"89,0";"90,0";"84,0";"11,5";"11,5";"10,6";"1018,1";"1018,2";"1017,9";"1,5";"107,0";"3,5";"";"0,0"
"01/09/2023";"1000";"13,2";"13,2";"12,6";"92,0";"93,0";"88,0";"11,9";"11,9";"11,0";"1018,1";"1018,2";"1018,0";"1,3";"100,0";"2,7";"5,40";"0,0"
"01/09/2023";"1100";"15,9";"15,9";"13,1";"80,0";"92,0";"80,0";"12,4";"12,8";"11,8";"1018,1";"1018,2";"1018,0";"2,8";"88,0";"4,7";"351,40";"0,0"
"01/09/2023";"1200";"16,9";"16,9";"15,9";"79,0";"82,0";"78,0";"13,1";"13,5";"12,4";"1018,0";"1018,4";"1018,0";"3,8";"75,0";"6,7";"1106,60";"0,0"
"01/09/2023";"1300";"18,9";"18,9";"16,8";"75,0";"81,0";"74,0";"14,3";"14,3";"13,2";"1017,8";"1018,1";"1017,8";"3,6";"73,0";"6,5";"1798,00";"0,0"
"01/09/2023";"1400";"20,6";"20,7";"18,7";"70,0";"76,0";"70,0";"14,8";"15,1";"14,0";"1016,4";"1017,8";"1016,4";"4,7";"57,0";"9,0";"2253,40";"0,0"
"01/09/2023";"1500";"21,4";"21,8";"19,6";"69,0";"76,0";"65,0";"15,5";"15,8";"14,4";"1016,3";"1016,7";"1016,1";"4,7";"37,0";"9,1";"2655,00";"0,0"
"01/09/2023";"1600";"20,3";"21,4";"20,0";"74,0";"76,0";"66,0";"15,6";"15,7";"14,6";"1015,5";"1016,3";"1015,5";"4,8";"39,0";"12,0";"1996,40";"0,0"
"01/09/2023";"1700";"19,6";"20,3";"19,6";"78,0";"79,0";"74,0";"15,8";"15,8";"15,2";"1013,5";"1015,5";"1013,4";"5,5";"40,0";"11,5";"858,30";"0,0"
"01/09/2023";"1800";"18,7";"19,7";"18,7";"84,0";"84,0";"78,0";"16,0";"16,1";"15,6";"1013,8";"1013,8";"1013,2";"3,5";"16,0";"11,0";"318,50";"0,0"
"01/09/2023";"1900";"18,0";"18,7";"18,0";"89,0";"89,0";"84,0";"16,2";"16,3";"15,9";"1013,5";"1014,1";"1013,5";"3,1";"26,0";"7,4";"42,60";"0,2"
"01/09/2023";"2000";"17,7";"18,0";"17,3";"90,0";"93,0";"89,0";"16,0";"16,3";"15,9";"1013,4";"1013,5";"1013,1";"3,8";"32,0";"8,9";"18,80";"2,0"
