"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2022";"0000";"15,3";"15,5";"15,2";"83,0";"83,0";"78,0";"12,4";"12,5";"11,5";"1017,0";"1017,3";"1016,9";"4,1";"54,0";"7,9";"";"0,0"
"01/09/2022";"0100";"15,3";"15,3";"15,1";"82,0";"84,0";"82,0";"12,3";"12,4";"12,2";"1016,7";"1017,0";"1016,7";"3,6";"53,0";"6,8";"";"0,0"
"01/09/2022";"0200";"15,0";"15,3";"15,0";"84,0";"84,0";"82,0";"12,2";"12,4";"12,2";"1016,7";"1016,8";"1016,6";"2,8";"46,0";"7,8";"";"0,0"
"01/09/2022";"0300";"14,7";"15,0";"14,7";"86,0";"86,0";"84,0";"12,4";"12,5";"12,3";"1016,3";"1016,7";"1016,3";"2,3";"49,0";"5,5";"";"0,0"
"01/09/2022";"0400";"14,4";"14,7";"14,3";"89,0";"89,0";"86,0";"12,5";"12,5";"12,2";"1016,1";"1016,4";"1016,1";"2,1";"56,0";"4,2";"";"0,0"
"01/09/2022";"0500";"14,1";"14,4";"14,1";"90,0";"90,0";"89,0";"12,4";"12,5";"12,4";"1015,4";"1016,1";"1015,4";"1,8";"53,0";"3,6";"";"0,0"
"01/09/2022";"0600";"14,4";"14,5";"14,1";"90,0";"90,0";"90,0";"12,8";"12,8";"12,5";"1014,7";"1015,4";"1014,7";"2,3";"50,0";"4,4";"";"0,0"
"01/09/2022";"0700";"14,4";"14,5";"14,3";"90,0";"90,0";"90,0";"12,8";"12,9";"12,7";"1014,2";"1014,7";"1014,2";"2,8";"39,0";"5,1";"";"0,0"
"01/09/2022";"0800";"14,4";"14,5";"14,3";"91,0";"91,0";"90,0";"13,0";"13,0";"12,7";"1014,1";"1014,2";"1014,0";"2,3";"42,0";"5,1";"";"0,0"
"01/09/2022";"0900";"14,8";"14,8";"14,4";"91,0";"91,0";"91,0";"13,3";"13,3";"13,0";"1014,2";"1014,3";"1013,9";"2,6";"26,0";"6,3";"";"0,0"
